code;score_2025;samples_count;score_min;score_max
10545;120.870;4;120.870;199.730
10546;73.010;2;73.010;117.730
10547;122.430;4;122.430;182.910
10548;107.790;4;107.790;144.730
10566;77.790;3;77.790;155.210
10568;92.680;8;92.680;129.370
10570;105.640;4;105.640;145.770
10571;97.800;4;97.800;142.630
10572;96.360;4;96.360;148.690
10573;101.870;3;101.870;120.720
10603;92.390;2;92.390;123.660
10611;98.500;4;98.500;157.010
10612;97.200;6;97.200;150.150
10622;82.460;5;82.460;125.830
10629;74.920;3;74.920;168.200
10700;111.840;4;111.840;188.550
10740;106.950;3;106.950;154.130
10741;139.420;2;139.420;169.780
10742;107.690;2;107.690;156.210
10743;120.120;2;120.120;144.430
10744;135.260;2;135.260;195.600
10745;117.980;2;117.980;167.810
10746;130.730;2;130.730;163.650
10747;135.700;5;135.700;191.630
10748;133.120;3;133.120;175.660
10750;115.970;3;115.970;180.240
10753;127.850;2;127.850;182.720
10754;121.230;2;121.230;146.060
10759;116.900;4;116.900;188.090
10797;134.570;3;134.570;190.740
10799;130.540;4;130.540;159.880
10832;126.900;1;126.900;126.900
10840;107.040;1;107.040;107.040
11101;107.010;4;107.010;130.940
11102;113.240;5;113.240;151.900
11103;101.060;5;101.060;126.910
11104;92.620;4;92.620;135.200
11105;85.610;7;85.610;138.850
11106;103.560;4;103.560;129.880
11120;90.700;5;90.700;131.200
11121;82.820;8;82.820;138.420
11122;85.550;4;85.550;137.710
11123;83.560;4;83.560;111.780
11124;86.070;3;86.070;101.100
11190;76.150;7;76.150;132.280
11191;109.580;4;109.580;137.810
11192;96.490;9;96.490;138.060
11207;84.240;6;84.240;139.460
11208;71.540;10;71.540;137.740
11209;98.230;4;98.230;120.360
11301;102.520;7;102.520;164.370
11311;104.450;4;104.450;175.020
11312;122.100;3;122.100;143.700
11318;90.270;4;90.270;149.560
11391;102.530;5;102.530;158.820
11422;99.070;4;99.070;178.610
11501;80.570;3;80.570;152.430
11502;96.510;2;96.510;122.150
11505;73.120;3;73.120;105.260
11509;91.720;2;91.720;102.590
11512;102.660;2;102.660;110.430
11518;161.680;3;161.680;171.630
11523;121.080;3;121.080;198.990
11524;102.810;7;102.810;185.910
11525;110.560;2;110.560;136.330
11526;110.660;4;110.660;160.470
11546;86.160;2;86.160;112.980
11566;129.160;5;129.160;169.350
11568;107.360;3;107.360;128.060
11573;121.200;4;121.200;150.180
11629;101.010;3;101.010;161.960
11744;120.010;2;120.010;124.610
11797;123.090;3;123.090;138.730
11832;145.400;1;145.400;145.400
12101;73.880;4;73.880;100.240
12102;107.590;5;107.590;168.930
12103;73.040;5;73.040;118.260
12104;106.380;3;106.380;146.020
12105;84.890;4;84.890;113.120
12106;86.880;5;86.880;150.360
12311;84.320;4;84.320;189.630
12312;101.290;3;101.290;151.870
12318;109.090;4;109.090;145.030
12512;82.970;2;82.970;112.040
12523;152.910;3;152.910;179.480
12524;126.650;4;126.650;184.380
12629;106.720;3;106.720;112.070
12832;150.130;1;150.130;150.130
13101;93.160;4;93.160;124.030
13102;94.300;10;94.300;164.580
13103;71.060;6;71.060;134.600
13311;73.750;8;73.750;170.170
13312;109.770;3;109.770;128.430
13318;70.530;4;70.530;173.550
13510;90.930;1;90.930;90.930
13522;110.020;3;110.020;181.060
13523;141.490;3;141.490;170.870
14311;123.850;4;123.850;182.190
14312;90.090;3;90.090;136.340
14318;110.320;8;110.320;166.530
15318;121.210;5;121.210;179.550
16318;116.840;5;116.840;173.550
20311;140.060;4;140.060;172.710
20312;114.390;3;114.390;127.120
20318;117.360;4;117.360;150.020
20501;96.070;3;96.070;181.140
20502;103.180;2;103.180;107.150
20503;78.660;3;78.660;94.770
20504;93.800;3;93.800;131.060
20507;79.220;6;79.220;122.340
20509;87.390;4;87.390;130.580
20510;101.090;1;101.090;101.090
20512;107.720;1;107.720;107.720
20513;88.510;1;88.510;88.510
20518;170.870;3;170.870;181.040
20522;156.420;3;156.420;189.780
20523;163.800;3;163.800;185.960
20524;134.230;4;134.230;188.080
20546;80.520;2;80.520;126.370
20573;116.660;4;116.660;152.230
20603;95.190;2;95.190;110.080
20629;78.210;3;78.210;153.400
20832;120.780;1;120.780;120.780
20844;91.150;2;91.150;112.590
20846;95.340;2;95.340;98.960
21391;113.520;5;113.520;156.280
21394;111.700;5;111.700;141.900
21396;90.510;9;90.510;135.460
21523;142.350;4;142.350;180.480
21524;129.030;4;129.030;178.350
21566;129.510;5;129.510;156.470
21570;77.320;3;77.320;144.730
21571;108.390;4;108.390;133.890
21573;125.480;4;125.480;172.770
21597;100.490;3;100.490;127.660
21629;91.850;7;91.850;189.390
21844;86.150;2;86.150;99.800
22101;95.240;3;95.240;99.940
22102;106.420;5;106.420;164.800
22103;73.440;6;73.440;125.120
22105;101.860;3;101.860;106.900
22202;74.120;8;74.120;122.730
22207;108.670;6;108.670;144.110
22208;74.530;5;74.530;129.120
22209;74.050;11;74.050;168.240
22311;106.220;4;106.220;187.500
22312;108.730;3;108.730;128.960
22318;131.630;4;131.630;144.410
22391;118.100;4;118.100;136.280
22394;107.380;4;107.380;128.800
22396;105.840;5;105.840;130.110
22522;147.240;3;147.240;191.980
22532;109.340;2;109.340;187.760
22566;132.160;5;132.160;153.570
22568;120.990;3;120.990;128.420
22570;109.550;3;109.550;132.850
22571;110.580;4;110.580;140.950
23566;117.940;4;117.940;156.010
23570;112.860;3;112.860;140.320
23597;90.570;3;90.570;105.170
24391;125.860;4;125.860;155.010
24394;111.490;4;111.490;130.690
24477;95.300;5;95.300;165.400
24566;117.760;4;117.760;169.330
24597;87.270;6;87.270;110.340
30101;75.110;7;75.110;124.840
30102;91.430;5;91.430;139.280
30103;86.250;6;86.250;144.570
30118;73.670;5;73.670;135.790
30123;72.900;4;72.900;107.590
30124;76.290;7;76.290;114.610
30162;70.150;6;70.150;111.030
30201;81.930;4;81.930;110.590
30202;79.740;5;79.740;115.680
30207;94.020;7;94.020;179.260
30208;91.470;5;91.470;138.210
30209;86.150;7;86.150;118.680
30246;83.680;3;83.680;91.530
30301;111.520;6;111.520;169.070
30311;138.260;4;138.260;190.330
30312;83.150;3;83.150;132.150
30318;103.320;9;103.320;167.120
30391;105.790;4;105.790;145.490
30501;73.820;3;73.820;109.390
30504;102.630;3;102.630;140.200
30507;98.870;3;98.870;105.780
30519;147.440;3;147.440;196.060
30522;100.700;6;100.700;176.370
30523;131.420;4;131.420;176.160
30524;135.750;4;135.750;162.130
30566;78.800;9;78.800;151.710
30568;95.560;3;95.560;133.310
30570;110.950;4;110.950;158.300
30571;97.090;4;97.090;130.760
30573;120.110;4;120.110;164.620
30580;87.700;3;87.700;102.670
30603;98.550;2;98.550;139.560
30629;106.010;4;106.010;122.450
30671;80.110;4;80.110;103.850
30672;79.770;4;79.770;111.680
30673;101.480;4;101.480;109.230
30700;110.680;3;110.680;183.590
30739;152.620;3;152.620;190.020
30750;128.270;3;128.270;164.300
30754;125.750;6;125.750;148.910
30760;130.730;3;130.730;158.750
30797;117.690;7;117.690;196.550
30844;98.710;2;98.710;140.970
31312;110.820;3;110.820;139.600
31318;105.110;5;105.110;137.560
31523;145.080;4;145.080;171.040
31524;123.040;4;123.040;171.820
31570;121.580;4;121.580;138.690
31629;104.250;4;104.250;110.960
31797;156.030;4;156.030;181.800
32312;89.740;3;89.740;109.530
32318;108.570;5;108.570;155.600
32523;136.320;4;136.320;189.990
33312;100.650;3;100.650;118.170
33318;106.120;4;106.120;159.080
34102;87.680;5;87.680;157.490
34103;69.950;10;69.950;160.280
34104;87.050;7;87.050;132.670
34105;102.430;3;102.430;135.500
34106;77.560;5;77.560;118.060
34147;72.430;8;72.430;112.140
34208;97.670;5;97.670;119.780
34318;100.980;4;100.980;160.290
34394;103.420;4;103.420;127.100
34396;98.830;4;98.830;135.920
34501;75.040;3;75.040;104.840
34502;73.040;3;73.040;105.650
34503;89.320;3;89.320;105.890
34504;90.040;3;90.040;98.680
34505;82.190;6;82.190;116.470
34507;87.240;3;87.240;107.340
34509;92.660;2;92.660;114.850
34518;167.380;3;167.380;189.800
34522;129.390;3;129.390;165.590
34523;141.930;4;141.930;177.280
34532;120.800;2;120.800;154.960
34546;79.170;2;79.170;109.780
34550;99.550;3;99.550;118.120
34570;101.420;4;101.420;147.150
34574;85.800;3;85.800;96.290
34597;90.500;3;90.500;125.540
34629;128.970;3;128.970;142.980
